"NUTS_ID","year","verified","verified_lag","verified_delta"
"AT113",2005,29823,NA,NA
"AT113",2006,26429,29823,-3394
"AT113",2007,29943,26429,3514
"AT113",2008,27892,29943,-2051
"AT113",2009,24671,27892,-3221
"AT113",2010,22053,24671,-2618
"AT113",2011,20871,22053,-1182
"AT113",2012,18151,20871,-2720
"AT113",2013,7286,18151,-10865
"AT113",2014,8783,7286,1497
"AT113",2015,7509,8783,-1274
"AT113",2016,8259,7509,750
"AT113",2017,8034,8259,-225
"AT113",2018,9443,8034,1409
"AT113",2019,9678,9443,235
"AT113",2020,10911,9678,1233
"AT113",2021,10737,10911,-174
"AT113",2022,11437,10737,700
"AT113",2023,7282,11437,-4155
"AT121",2005,230130,NA,NA
"AT121",2006,237008,230130,6878
"AT121",2007,206963,237008,-30045
"AT121",2008,215788,206963,8825
"AT121",2009,209193,215788,-6595
"AT121",2010,211242,209193,2049
"AT121",2011,206814,211242,-4428
"AT121",2012,204506,206814,-2308
"AT121",2013,169332,204506,-35174
"AT121",2014,171502,169332,2170
"AT121",2015,171293,171502,-209
"AT121",2016,175051,171293,3758
"AT121",2017,176160,175051,1109
"AT121",2018,169482,176160,-6678
"AT121",2019,162874,169482,-6608
"AT121",2020,162522,162874,-352
"AT121",2021,172245,162522,9723
"AT121",2022,151530,172245,-20715
"AT121",2023,131382,151530,-20148
"AT122",2005,722039,NA,NA
"AT122",2006,684773,722039,-37266
"AT122",2007,700253,684773,15480
"AT122",2008,703061,700253,2808
"AT122",2009,647614,703061,-55447
"AT122",2010,662171,647614,14557
"AT122",2011,676424,662171,14253
"AT122",2012,653812,676424,-22612
"AT122",2013,655376,653812,1564
"AT122",2014,661138,655376,5762
"AT122",2015,667912,661138,6774
"AT122",2016,666511,667912,-1401
"AT122",2017,698350,666511,31839
"AT122",2018,734403,698350,36053
"AT122",2019,725204,734403,-9199
"AT122",2020,701519,725204,-23685
"AT122",2021,707491,701519,5972
"AT122",2022,677279,707491,-30212
"AT122",2023,624240,677279,-53039
"AT123",2005,200755,NA,NA
"AT123",2006,195508,200755,-5247
"AT123",2007,180287,195508,-15221
"AT123",2008,162854,180287,-17433
"AT123",2009,124292,162854,-38562
"AT123",2010,101462,124292,-22830
"AT123",2011,89844,101462,-11618
"AT123",2012,88218,89844,-1626
"AT123",2013,100772,88218,12554
"AT123",2014,97074,100772,-3698
"AT123",2015,106837,97074,9763
"AT123",2016,110573,106837,3736
"AT123",2017,106482,110573,-4091
"AT123",2018,103035,106482,-3447
"AT123",2019,101725,103035,-1310
"AT123",2020,100907,101725,-818
"AT123",2021,105749,100907,4842
"AT123",2022,84915,105749,-20834
"AT123",2023,79444,84915,-5471
"AT124",2005,675008,NA,NA
"AT124",2006,559258,675008,-115750
"AT124",2007,389790,559258,-169468
"AT124",2008,390979,389790,1189
"AT124",2009,432111,390979,41132
"AT124",2010,384286,432111,-47825
"AT124",2011,99734,384286,-284552
"AT124",2012,98479,99734,-1255
"AT124",2013,84010,98479,-14469
"AT124",2014,94031,84010,10021
"AT124",2015,233670,94031,139639
"AT124",2016,376088,233670,142418
"AT124",2017,552556,376088,176468
"AT124",2018,409087,552556,-143469
"AT124",2019,262754,409087,-146333
"AT124",2020,222485,262754,-40269
"AT124",2021,269790,222485,47305
"AT124",2022,265790,269790,-4000
"AT124",2023,98906,265790,-166884
