file,variable,var_class
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,NUTS_ID,geography
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,year,time
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,verified_delta,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,valueaddedperindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,grossfixedcapitalformationbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,averageannualpopulation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,capitalstock,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,employmentpercapita,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,employmentrate.20.64.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,gdpconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,gdppercapitaconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,grossfixedcapitalformation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,hoursworkedpercapita,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,hoursworkedperemployedperson,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,householdnetdisposableincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,labourforce..15.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,netmigrationbybroadageper1000p,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,netmigrationbybroadsexage,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,netpropertyincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,populationbyeducationalattainmentlevel,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,populationchangeper1000p,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,realcompensationperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,reallaborproductivityperemployee,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,reallaborproductivityperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,unemployment.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,unemploymentrate.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,wageandsalaryearners.workplacebasedemployees.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,workplacebasedemployment,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,compensationofemployeesbyindustry_sec_B.E,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,consumptionfixedcapitalbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,NUTS_ID,geography
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,year,time
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,verified_delta,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,valueaddedperindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,grossfixedcapitalformationbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,averageannualpopulation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,capitalstock,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,employmentpercapita,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,employmentrate.20.64.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,gdpconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,gdppercapitaconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,grossfixedcapitalformation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,hoursworkedpercapita,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,hoursworkedperemployedperson,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,householdnetdisposableincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,labourforce..15.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,netmigrationbybroadageper1000p,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,netmigrationbybroadsexage,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,netpropertyincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,populationbyeducationalattainmentlevel,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,populationchangeper1000p,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,realcompensationperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,reallaborproductivityperemployee,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,reallaborproductivityperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,unemployment.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,unemploymentrate.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,wageandsalaryearners.workplacebasedemployees.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,workplacebasedemployment,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,compensationofemployeesbyindustry_sec_B.E,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,consumptionfixedcapitalbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,NUTS_ID,geography
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,year,time
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,averageannualpopulation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,capitalstock,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,employmentpercapita,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,employmentrate.20.64.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,gdpconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,gdppercapitaconstantprices,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,grossfixedcapitalformation,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,hoursworkedpercapita,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,hoursworkedperemployedperson,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,householdnetdisposableincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,labourforce..15.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,netmigrationbybroadageper1000p,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,netmigrationbybroadsexage,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,netpropertyincome,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,populationbyeducationalattainmentlevel,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,populationchangeper1000p,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,realcompensationperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,reallaborproductivityperemployee,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,reallaborproductivityperhourworked,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,unemployment.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,unemploymentrate.15.74..experimental.,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,wageandsalaryearners.workplacebasedemployees.,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,workplacebasedemployment,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,compensationofemployeesbyindustry_sec_B.E,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,consumptionfixedcapitalbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,employmentbyindustry_sec_B.E,employment_industry
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,grossfixedcapitalformationbyindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,valueaddedperindustry_sec_B.E,macro_or_labor
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,installation_id,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,year,time
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,euetsPhase,time
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,compliance_id,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,allocatedFree,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,allocatedNewEntrance,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,allocatedTotal,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,allocated10c,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verifiedCummulative,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verifiedUpdated,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,surrendered,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,surrenderedCummulative,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,name,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,registry_id,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,activity_id,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,eprtrID,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,parentCompany,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,subsidiaryCompany,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,permitID,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,permitDateExpiry,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,permitDateEntry,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,addressMain,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,addressSecondary,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,postalCode,other
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,city,geography
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,country_id,geography
