file,var_class,N
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,macro_or_labor,51
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,other,25
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,employment_industry,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,industry_code,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,geography,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,time,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,macro_or_labor,51
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,other,25
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,employment_industry,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,industry_code,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,geography,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,time,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/build_log.csv,other,4
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,macro_or_labor,51
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,other,25
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,employment_industry,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,industry_code,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,geography,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023.csv,time,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,macro_or_labor,51
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,other,25
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,employment_industry,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,industry_code,13
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,geography,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/ardeco_panel_2005_2023_nuts3.csv,time,1
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/processed_data/build_log.csv,other,4
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,macro_or_labor,15
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,other,12
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,emissions_or_ets,2
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,geography,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,time,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,employment_industry,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,industry_code,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,macro_or_labor,15
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,other,12
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,emissions_or_ets,2
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,geography,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,time,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,employment_industry,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,industry_code,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,macro_or_labor,15
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,other,12
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,geography,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,time,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,employment_industry,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,industry_code,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,emissions_or_ets,3
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,geography,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,time,1
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,other,26
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,emissions_or_ets,16
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,time,7
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,industry_code,5
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,geography,5
