file,variable,var_class
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,verified_delta,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,verified_delta,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verifiedCummulative,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,verifiedUpdated,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,reported_emissions,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,positive_emissions,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,log_verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,verified,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,verified_lag,emissions_or_ets
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_NUTS3aggregate.csv,verified_delta,emissions_or_ets
