file,variable,var_class
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged_noNA.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_ets_merged.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ardeco_panel_premerge.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,activity_id,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,nace15_id,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,nace20_id,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,nace_id,industry_code
ETS_ARDECO_merged/outdir_ardeco_ets_merge/ets_panel_final_raw.csv,nace_section,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_A,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_F,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_G.I,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_G.J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_K,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_K.N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_L,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_M_N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_O.Q,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_O.U,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023_nuts3.csv,hoursworkedbyindustry.NACE2._sec_R.U,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_A,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_B.E,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_F,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_G.I,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_G.J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_J,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_K,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_K.N,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_L,industry_code
ETS_ARDECO_merged/data_eurostat_zip/data_eurostat/out_dir/ardeco_panel_2005_2023.csv,hoursworkedbyindustry.NACE2._sec_M_N,industry_code
