NUTS_ID,year,sector,employment_level,d_employment,emissions_level,d_emissions,country,wave
AT113,2006,B.E,6.5,-0.0999999999999996,26429,-3394,AT,1
AT113,2007,B.E,6.6,0.0999999999999996,29943,3514,AT,1
AT113,2008,B.E,6.8,0.2,27892,-2051,AT,2
AT113,2009,B.E,6.6,-0.2,24671,-3221,AT,2
AT113,2010,B.E,6.4,-0.199999999999999,22053,-2618,AT,2
AT113,2011,B.E,6.7,0.3,20871,-1182,AT,2
AT113,2012,B.E,6.6,-0.100000000000001,18151,-2720,AT,2
AT113,2013,B.E,6.7,0.100000000000001,7286,-10865,AT,3
AT113,2014,B.E,6.5,-0.2,8783,1497,AT,3
AT113,2015,B.E,6.4,-0.0999999999999996,7509,-1274,AT,3
AT113,2016,B.E,6.1,-0.300000000000001,8259,750,AT,3
AT113,2017,B.E,5.9,-0.199999999999999,8034,-225,AT,3
AT113,2018,B.E,5.9,0,9443,1409,AT,3
AT113,2019,B.E,6,0.0999999999999996,9678,235,AT,3
AT113,2020,B.E,5.9,-0.0999999999999996,10911,1233,AT,3
AT113,2021,B.E,6.1,0.199999999999999,10737,-174,AT,4
AT113,2022,B.E,6.4,0.300000000000001,11437,700,AT,4
AT113,2023,B.E,6.4,0,7282,-4155,AT,4
AT121,2006,B.E,23,0.399999999999999,237008,6878,AT,1
AT121,2007,B.E,23.6,0.600000000000001,206963,-30045,AT,1
AT121,2008,B.E,24.1,0.5,215788,8825,AT,2
AT121,2009,B.E,23.8,-0.300000000000001,209193,-6595,AT,2
AT121,2010,B.E,23.2,-0.600000000000001,211242,2049,AT,2
AT121,2011,B.E,23.6,0.400000000000002,206814,-4428,AT,2
AT121,2012,B.E,24.3,0.699999999999999,204506,-2308,AT,2
AT121,2013,B.E,24.8,0.5,169332,-35174,AT,3
AT121,2014,B.E,24.9,0.0999999999999979,171502,2170,AT,3
AT121,2015,B.E,25.3,0.400000000000002,171293,-209,AT,3
AT121,2016,B.E,26,0.699999999999999,175051,3758,AT,3
AT121,2017,B.E,26.2,0.199999999999999,176160,1109,AT,3
AT121,2018,B.E,27.2,1,169482,-6678,AT,3
AT121,2019,B.E,28,0.800000000000001,162874,-6608,AT,3
AT121,2020,B.E,28.2,0.199999999999999,162522,-352,AT,3
AT121,2021,B.E,27.1,-1.1,172245,9723,AT,4
AT121,2022,B.E,27.6,0.5,151530,-20715,AT,4
AT121,2023,B.E,27.5,-0.100000000000001,131382,-20148,AT,4
AT122,2006,B.E,23.9,0.5,684773,-37266,AT,1
AT122,2007,B.E,24.8,0.900000000000002,700253,15480,AT,1
AT122,2008,B.E,24.9,0.0999999999999979,703061,2808,AT,2
AT122,2009,B.E,23.8,-1.1,647614,-55447,AT,2
AT122,2010,B.E,22.3,-1.5,662171,14557,AT,2
AT122,2011,B.E,22.6,0.300000000000001,676424,14253,AT,2
AT122,2012,B.E,22.9,0.299999999999997,653812,-22612,AT,2
AT122,2013,B.E,22.8,-0.0999999999999979,655376,1564,AT,3
AT122,2014,B.E,22.4,-0.400000000000002,661138,5762,AT,3
AT122,2015,B.E,22.3,-0.0999999999999979,667912,6774,AT,3
AT122,2016,B.E,22.2,-0.100000000000001,666511,-1401,AT,3
AT122,2017,B.E,21.6,-0.599999999999998,698350,31839,AT,3
AT122,2018,B.E,22.3,0.699999999999999,734403,36053,AT,3
AT122,2019,B.E,22.7,0.399999999999999,725204,-9199,AT,3
AT122,2020,B.E,22.6,-0.0999999999999979,701519,-23685,AT,3
