NUTS_ID,sector,year,d_employment,d_employment_l1,d_emissions,d_emissions_l1,resid_core,resid_core_l1
AT113,B.E,2006,-0.0999999999999996,,-3394,,-0.262567477071553,
AT113,B.E,2007,0.0999999999999996,-0.0999999999999996,3514,-3394,-0.270736504858204,-0.262567477071553
AT113,B.E,2008,0.2,0.0999999999999996,-2051,3514,-0.143675036858107,-0.270736504858204
AT113,B.E,2009,-0.2,0.2,-3221,-2051,1.30879179533088,-0.143675036858107
AT113,B.E,2010,-0.199999999999999,-0.2,-2618,-3221,0.567895832585924,1.30879179533088
AT113,B.E,2011,0.3,-0.199999999999999,-1182,-2618,-0.0174342800712851,0.567895832585924
AT113,B.E,2012,-0.100000000000001,0.3,-2720,-1182,-0.189324417232316,-0.0174342800712851
AT113,B.E,2013,0.100000000000001,-0.100000000000001,-10865,-2720,0.146765482136697,-0.189324417232316
AT113,B.E,2014,-0.2,0.100000000000001,1497,-10865,-0.45190132708631,0.146765482136697
AT113,B.E,2015,-0.0999999999999996,-0.2,-1274,1497,-0.433015974121212,-0.45190132708631
AT113,B.E,2016,-0.300000000000001,-0.0999999999999996,750,-1274,-0.882681956646606,-0.433015974121212
AT113,B.E,2017,-0.199999999999999,-0.300000000000001,-225,750,-0.812071672550078,-0.882681956646606
AT113,B.E,2018,0,-0.199999999999999,1409,-225,-0.613770436420824,-0.812071672550078
AT113,B.E,2019,0.0999999999999996,0,235,1409,-0.488627529861351,-0.613770436420824
AT113,B.E,2020,-0.0999999999999996,0.0999999999999996,1233,235,0.290267508219052,-0.488627529861351
AT113,B.E,2021,0.199999999999999,-0.0999999999999996,-174,1233,0.0207804707256743,0.290267508219052
AT113,B.E,2022,0.300000000000001,0.199999999999999,700,-174,-0.274096873650606,0.0207804707256743
AT113,B.E,2023,0,0.300000000000001,-4155,700,-0.274320587786264,-0.274096873650606
AT121,B.E,2006,0.399999999999999,,6878,,0.236590221315262,
AT121,B.E,2007,0.600000000000001,0.399999999999999,-30045,6878,0.23201532534398,0.236590221315262
AT121,B.E,2008,0.5,0.600000000000001,8825,-30045,0.155433133669056,0.23201532534398
AT121,B.E,2009,-0.300000000000001,0.5,-6595,8825,1.20906846254689,0.155433133669056
AT121,B.E,2010,-0.600000000000001,-0.300000000000001,2049,-6595,0.167513139670352,1.20906846254689
AT121,B.E,2011,0.400000000000002,-0.600000000000001,-4428,2049,0.0828318911744717,0.167513139670352
AT121,B.E,2012,0.699999999999999,0.400000000000002,-2308,-4428,0.610641798863416,0.0828318911744717
AT121,B.E,2013,0.5,0.699999999999999,-35174,-2308,0.548758814488222,0.610641798863416
AT121,B.E,2014,0.0999999999999979,0.5,2170,-35174,-0.151956512929933,0.548758814488222
AT121,B.E,2015,0.400000000000002,0.0999999999999979,-209,2170,0.0668966961262548,-0.151956512929933
AT121,B.E,2016,0.699999999999999,0.400000000000002,3758,-209,0.117071388052337,0.0668966961262548
AT121,B.E,2017,0.199999999999999,0.699999999999999,1109,3758,-0.41218106024011,0.117071388052337
AT121,B.E,2018,1,0.199999999999999,-6678,1109,0.386892695700069,-0.41218106024011
AT121,B.E,2019,0.800000000000001,1,-6608,-6678,0.211933594548601,0.386892695700069
AT121,B.E,2020,0.199999999999999,0.800000000000001,-352,-6608,0.590397477850757,0.211933594548601
AT121,B.E,2021,-1.1,0.199999999999999,9723,-352,-1.28003108097464,0.590397477850757
AT121,B.E,2022,0.5,-1.1,-20715,9723,-0.0723408486266264,-1.28003108097464
AT121,B.E,2023,-0.100000000000001,0.5,-20148,-20715,-0.373009165502421,-0.0723408486266264
AT122,B.E,2006,0.5,,-37266,,0.3402100190579,
AT122,B.E,2007,0.900000000000002,0.5,15480,-37266,0.528282285922235,0.3402100190579
AT122,B.E,2008,0.0999999999999979,0.900000000000002,2808,15480,-0.244073473729065,0.528282285922235
AT122,B.E,2009,-1.1,0.0999999999999979,-55447,2808,0.413074315195572,-0.244073473729065
AT122,B.E,2010,-1.5,-1.1,14557,-55447,-0.73351251342327,0.413074315195572
AT122,B.E,2011,0.300000000000001,-1.5,14253,14557,-0.0186999464847857,-0.73351251342327
AT122,B.E,2012,0.299999999999997,0.300000000000001,-22612,14253,0.212306722145548,-0.0186999464847857
AT122,B.E,2013,-0.0999999999999979,0.299999999999997,1564,-22612,-0.0542536929752821,0.212306722145548
AT122,B.E,2014,-0.400000000000002,-0.0999999999999979,5762,1564,-0.65225105609529,-0.0542536929752821
AT122,B.E,2015,-0.0999999999999979,-0.400000000000002,6774,5762,-0.433675908251165,-0.65225105609529
AT122,B.E,2016,-0.100000000000001,-0.0999999999999979,-1401,6774,-0.682505575146415,-0.433675908251165
AT122,B.E,2017,-0.599999999999998,-0.100000000000001,31839,-1401,-1.21470091309964,-0.682505575146415
AT122,B.E,2018,0.699999999999999,-0.599999999999998,36053,31839,0.0833887636291037,-1.21470091309964
AT122,B.E,2019,0.399999999999999,0.699999999999999,-9199,36053,-0.187853944053449,0.0833887636291037
AT122,B.E,2020,-0.0999999999999979,0.399999999999999,-23685,-9199,0.292310778429072,-0.187853944053449
AT122,B.E,2021,-0.100000000000001,-0.0999999999999979,5972,-23685,-0.279723499846233,0.292310778429072
AT122,B.E,2022,0.600000000000001,-0.100000000000001,-30212,5972,0.0284379031666382,-0.279723499846233
AT122,B.E,2023,0.299999999999997,0.600000000000001,-53039,-30212,0.0296878888549771,0.0284379031666382
AT123,B.E,2006,-0.199999999999999,,-5247,,-0.362415531502118,
AT123,B.E,2007,0.5,-0.199999999999999,-15221,-5247,0.130799760788505,-0.362415531502118
AT123,B.E,2008,0.199999999999999,0.5,-17433,-15221,-0.142413716432292,0.130799760788505
AT123,B.E,2009,-0.6,0.199999999999999,-38562,-17433,0.911689749118994,-0.142413716432292
AT123,B.E,2010,-0.4,-0.6,-22830,-38562,0.369553211889434,0.911689749118994
AT123,B.E,2011,0.200000000000001,-0.4,-11618,-22830,-0.116578530496208,0.369553211889434
AT123,B.E,2012,-0.0999999999999996,0.200000000000001,-1626,-11618,-0.189414124978112,-0.116578530496208
AT123,B.E,2013,-0.100000000000001,-0.0999999999999996,12554,-1626,-0.0551548704216332,-0.189414124978112
AT123,B.E,2014,-0.299999999999999,-0.100000000000001,-3698,12554,-0.551475338293426,-0.0551548704216332
AT123,B.E,2015,0.199999999999999,-0.299999999999999,9763,-3698,-0.13392100555664,-0.551475338293426
AT123,B.E,2016,0.0999999999999996,0.199999999999999,3736,9763,-0.482926807952774,-0.13392100555664
AT123,B.E,2017,-0.0999999999999996,0.0999999999999996,-4091,3736,-0.711754661448388,-0.482926807952774
AT123,B.E,2018,-0.0999999999999996,-0.0999999999999996,-3447,-4091,-0.713372245549171,-0.711754661448388
AT123,B.E,2019,0,-0.0999999999999996,-1310,-3447,-0.588500840220349,-0.713372245549171
AT123,B.E,2020,-0.199999999999999,0,-818,-1310,0.190435689742479,-0.588500840220349
AT123,B.E,2021,0,-0.199999999999999,4842,-818,-0.1796308401088,0.190435689742479
AT123,B.E,2022,0.299999999999999,0,-20834,4842,-0.272331090654278,-0.1796308401088
AT123,B.E,2023,0.0999999999999996,0.299999999999999,-5471,-20834,-0.174212676092052,-0.272331090654278
AT124,B.E,2006,-0.399999999999999,,-115750,,-0.553354311178752,
AT124,B.E,2007,0.5,-0.399999999999999,-169468,-115750,0.143447978947454,-0.553354311178752
AT124,B.E,2008,0,0.5,1189,-169468,-0.343940716105256,0.143447978947454
AT124,B.E,2009,-0.5,0,41132,1189,1.00515485963681,-0.343940716105256
AT124,B.E,2010,-0.100000000000001,-0.5,-47825,41132,0.671602796081559,1.00515485963681
AT124,B.E,2011,0.100000000000001,-0.100000000000001,-284552,-47825,-0.194198005915539,0.671602796081559
AT124,B.E,2012,-0.100000000000001,0.100000000000001,-1255,-284552,-0.189444546891907,-0.194198005915539
AT124,B.E,2013,-0.0999999999999996,-0.100000000000001,-14469,-1255,-0.0529389907007344,-0.189444546891907
AT124,B.E,2014,0,-0.0999999999999996,10021,-14469,-0.252600293105661,-0.0529389907007344
AT124,B.E,2015,0,0,139639,10021,-0.344570807378468,-0.252600293105661
AT124,B.E,2016,0.4,0,142418,139639,-0.194298699728428,-0.344570807378468
AT124,B.E,2017,0,0.4,176468,142418,-0.626560457493444,-0.194298699728428
AT124,B.E,2018,0.199999999999999,0,-143469,176468,-0.401890474084883,-0.626560457493444
AT124,B.E,2019,0.400000000000002,0.199999999999999,-146333,-143469,-0.176608987918097,-0.401890474084883
AT124,B.E,2020,-0.500000000000002,0.400000000000002,-40269,-146333,-0.106329337424414,-0.176608987918097
AT124,B.E,2021,0.500000000000002,-0.500000000000002,47305,-40269,0.316887203757965,-0.106329337424414
AT124,B.E,2022,0.699999999999999,0.500000000000002,-4000,47305,0.126288525257294,0.316887203757965
AT124,B.E,2023,-0.199999999999999,0.699999999999999,-166884,-4000,-0.460976847598204,0.126288525257294
AT125,B.E,2006,-0.2,,-69979,,-0.357107522543339,
AT125,B.E,2007,0.3,-0.2,3988,-69979,-0.0707753727480646,-0.357107522543339
AT125,B.E,2008,0,0.3,6645,3988,-0.344388106837492,-0.0707753727480646
AT125,B.E,2009,0.0999999999999996,0,-16124,6645,1.60984983833272,-0.344388106837492
AT125,B.E,2010,-0.0999999999999996,0.0999999999999996,27869,-16124,0.665395905669926,1.60984983833272
AT125,B.E,2011,0,-0.0999999999999996,7766,27869,-0.318168013992115,0.665395905669926
AT125,B.E,2012,0.2,0,11569,7766,0.109503888087897,-0.318168013992115
AT125,B.E,2013,0,0.2,-14780,11569,0.0470865112270008,0.109503888087897
AT125,B.E,2014,0.0999999999999996,0,14014,-14780,-0.152927718177842,0.0470865112270008
AT125,B.E,2015,0.100000000000001,0.0999999999999996,16203,14014,-0.234449084060231,-0.152927718177842
AT125,B.E,2016,-0.100000000000001,0.100000000000001,-5377,16203,-0.682179544070284,-0.234449084060231
AT125,B.E,2017,0,-0.100000000000001,-2403,-5377,-0.611893077056163,-0.682179544070284
AT125,B.E,2018,0.100000000000001,0,9776,-2403,-0.514456528476655,-0.611893077056163
AT125,B.E,2019,0,0.100000000000001,4088,9776,-0.588943474966062,-0.514456528476655
AT125,B.E,2020,-0.2,0,6551,4088,0.189831433454749,-0.588943474966062
AT125,B.E,2021,0.3,-0.2,5044,6551,0.120352595938137,0.189831433454749
AT125,B.E,2022,0.0999999999999996,0.3,-22278,5044,-0.472212682989808,0.120352595938137
AT125,B.E,2023,-0.0999999999999996,0.0999999999999996,-66454,-22278,-0.369212084262148,-0.472212682989808
AT126,B.E,2006,0.5,,118521,,0.327435521256788,
AT126,B.E,2007,0.899999999999999,0.5,16783,118521,0.528175440224999,0.327435521256788
AT126,B.E,2008,-0.399999999999999,0.899999999999999,-507940,16783,-0.702192256407191,0.528175440224999
AT126,B.E,2009,-0.600000000000001,-0.399999999999999,-811107,-507940,0.975038259609342,-0.702192256407191
AT126,B.E,2010,-0.399999999999999,-0.600000000000001,843015,-811107,0.298554123078406,0.975038259609342
AT126,B.E,2011,0,-0.399999999999999,327150,843015,-0.344357427779596,0.298554123078406
AT126,B.E,2012,-0.300000000000001,0,-732323,327150,-0.329497140763903,-0.344357427779596
AT126,B.E,2013,0.5,-0.300000000000001,26237,-732323,0.543723126757769,-0.329497140763903
AT126,B.E,2014,-0.100000000000001,0.5,-966633,26237,-0.272514892042369,0.543723126757769
AT126,B.E,2015,0.300000000000001,-0.100000000000001,35618,-966633,-0.0360411095489338,-0.272514892042369
AT126,B.E,2016,-0.199999999999999,0.300000000000001,-581236,35618,-0.734959239877695,-0.0360411095489338
AT126,B.E,2017,-0.399999999999999,-0.199999999999999,-46057,-581236,-1.00831345919967,-0.734959239877695
AT126,B.E,2018,0.5,-0.399999999999999,-31284,-46057,-0.111089618017416,-1.00831345919967
AT126,B.E,2019,0.399999999999999,0.5,-191208,-31284,-0.172929248345318,-0.111089618017416
AT126,B.E,2020,-0.100000000000001,0.399999999999999,-491129,-191208,0.330641077813118,-0.172929248345318
AT126,B.E,2021,0.300000000000001,-0.100000000000001,16468,-491129,0.119415830592635,0.330641077813118
AT126,B.E,2022,0.600000000000001,0.300000000000001,20573,16468,0.0242735449671128,0.119415830592635
AT126,B.E,2023,0.0999999999999979,0.600000000000001,-19033,20573,-0.17310059524334,0.0242735449671128
AT127,B.E,2006,-0.199999999999999,,43087,,-0.366378908271162,
AT127,B.E,2007,0.5,-0.199999999999999,106490,43087,0.120819487069445,-0.366378908271162
AT127,B.E,2008,0.100000000000001,0.5,-55289,106490,-0.239309533228563,0.120819487069445
AT127,B.E,2009,-1.1,0.100000000000001,-91536,-55289,0.41603360480988,-0.239309533228563
AT127,B.E,2010,0,-1.1,-68822,-91536,0.773324545202668,0.41603360480988
AT127,B.E,2011,0.199999999999999,0,-15517,-68822,-0.116258813402187,0.773324545202668
AT127,B.E,2012,0.200000000000003,0.199999999999999,94094,-15517,0.102736857263526,-0.116258813402187
AT127,B.E,2013,0.199999999999999,0.200000000000003,9076,94094,0.245130324770214,0.102736857263526
AT127,B.E,2014,0,0.199999999999999,-130956,9076,-0.241040211863276,0.245130324770214
AT127,B.E,2015,-0.5,0,116378,-130956,-0.842663410783427,-0.241040211863276
AT127,B.E,2016,0.199999999999999,-0.5,-24311,116378,-0.380626960469815,-0.842663410783427
AT127,B.E,2017,0.300000000000001,0.199999999999999,-121056,-24311,-0.302163558626541,-0.380626960469815
AT127,B.E,2018,0.699999999999999,0.300000000000001,145582,-121056,0.0744074110794173,-0.302163558626541
AT127,B.E,2019,0.600000000000001,0.699999999999999,-21294,145582,0.0131378431361413,0.0744074110794173
AT127,B.E,2020,-0.100000000000001,0.600000000000001,-68244,-21294,0.295964606075276,0.0131378431361413
AT127,B.E,2021,0.199999999999999,-0.100000000000001,42620,-68244,0.0172713726693488,0.295964606075276
AT127,B.E,2022,-0.0999999999999979,0.199999999999999,-602004,42620,-0.62467528569576,0.0172713726693488
AT127,B.E,2023,0,-0.0999999999999979,289438,-602004,-0.298395145566579,-0.62467528569576
AT130,B.E,2006,-2,,-596012,,-2.11397293877311,
AT130,B.E,2007,0.5,-2,-315750,-596012,0.155443068957161,-2.11397293877311
AT130,B.E,2008,-0.699999999999989,0.5,318071,-315750,-1.06992496647409,0.155443068957161
AT130,B.E,2009,-2.7,-0.699999999999989,365299,318071,-1.22142675903929,-1.06992496647409
AT130,B.E,2010,-1.90000000000001,-2.7,270967,365299,-1.15453807384349,-1.22142675903929
AT130,B.E,2011,-1.8,-1.90000000000001,-469162,270967,-2.07906002881178,-1.15453807384349
AT130,B.E,2012,-1.09999999999999,-1.8,-546366,-469162,-1.14474557155466,-2.07906002881178
AT130,B.E,2013,-0.400000000000006,-1.09999999999999,-218716,-546366,-0.336190784159863,-1.14474557155466
AT130,B.E,2014,-0.900000000000006,-0.400000000000006,-222268,-218716,-1.13355264908067,-0.336190784159863
AT130,B.E,2015,-0.699999999999989,-0.900000000000006,330461,-222268,-1.06021816703879,-1.13355264908067
AT130,B.E,2016,-0.100000000000009,-0.699999999999989,161214,330461,-0.695839967360972,-1.06021816703879
AT130,B.E,2017,-1.7,-0.100000000000009,140571,161214,-2.32361691183452,-0.695839967360972
AT130,B.E,2018,-0.299999999999997,-1.7,-57276,140571,-0.908958280056951,-2.32361691183452
AT130,B.E,2019,0.299999999999997,-0.299999999999997,402021,-57276,-0.32157388850179,-0.908958280056951
AT130,B.E,2020,-0.299999999999997,0.299999999999997,-137360,402021,0.101632102015388,-0.32157388850179
AT130,B.E,2021,-0.299999999999997,-0.299999999999997,-81173,-137360,-0.472577630095364,0.101632102015388
AT130,B.E,2022,1,-0.299999999999997,56680,-81173,0.421312779356986,-0.472577630095364
AT130,B.E,2023,1.59999999999999,1,-499715,56680,1.3663152170647,0.421312779356986
AT211,B.E,2006,-0.0999999999999979,,902,,-0.262919748073327,
AT211,B.E,2007,-0.300000000000001,-0.0999999999999979,-36798,902,-0.667430930225158,-0.262919748073327
AT211,B.E,2008,-0.100000000000001,-0.300000000000001,-8107,-36798,-0.443178446265289,-0.667430930225158
AT211,B.E,2009,-1.1,-0.100000000000001,-14446,-8107,0.409712242722622,-0.443178446265289
AT211,B.E,2010,-0.300000000000001,-1.1,11217,-14446,0.466761365800642,0.409712242722622
AT211,B.E,2011,0.599999999999998,-0.300000000000001,-22400,11217,0.284305590998468,0.466761365800642
AT211,B.E,2012,0.400000000000002,0.599999999999998,-31339,-22400,0.313022334117735,0.284305590998468
AT211,B.E,2013,-0.5,0.400000000000002,-2168,-31339,-0.453947669842457,0.313022334117735
AT211,B.E,2014,0.0999999999999979,-0.5,-19340,-2168,-0.150192697928027,-0.453947669842457
AT211,B.E,2015,-0.299999999999997,0.0999999999999979,2452,-19340,-0.633321505255431,-0.150192697928027
AT211,B.E,2016,0.5,-0.299999999999997,-9109,2452,-0.0818735209374561,-0.633321505255431
AT211,B.E,2017,0.399999999999999,0.5,-17918,-9109,-0.210620850661251,-0.0818735209374561
AT211,B.E,2018,-0.199999999999999,0.399999999999999,-28709,-17918,-0.811300767419084,-0.210620850661251
AT211,B.E,2019,0.399999999999999,-0.199999999999999,-17001,-28709,-0.187214181866333,-0.811300767419084
AT211,B.E,2020,-0.199999999999999,0.399999999999999,2315,-17001,0.190178784470467,-0.187214181866333
AT211,B.E,2021,1,-0.199999999999999,6296,2315,0.820249932229054,0.190178784470467
AT211,B.E,2022,1.4,1,-7317,6296,0.826560518486552,0.820249932229054
AT211,B.E,2023,0.600000000000001,1.4,2124,-7317,0.325164535672734,0.826560518486552
AT212,B.E,2006,0,,-104,,-0.162837256307085,
AT212,B.E,2007,0,0,578,-104,-0.370495753540417,-0.162837256307085
AT212,B.E,2008,0.0999999999999996,0,-1885,578,-0.243688648819536,-0.370495753540417
AT212,B.E,2009,-0.9,0.0999999999999996,-9231,-1885,0.609284613934387,-0.243688648819536
AT212,B.E,2010,0.100000000000001,-0.9,7156,-9231,0.867094366857024,0.609284613934387
AT212,B.E,2011,0,0.100000000000001,-1996,7156,-0.317367532260427,0.867094366857024
AT212,B.E,2012,0.2,0,769,-1996,0.110389485578394,-0.317367532260427
AT212,B.E,2013,-0.300000000000001,0.2,2629,769,-0.25434102272782,0.110389485578394
AT212,B.E,2014,-0.199999999999999,-0.300000000000001,-1519,2629,-0.451654015787111,-0.25434102272782
AT212,B.E,2015,0.0999999999999996,-0.199999999999999,-582,-1519,-0.233072717960419,-0.451654015787111
AT212,B.E,2016,-0.0999999999999996,0.0999999999999996,-438,-582,-0.68258454092265,-0.233072717960419
AT212,B.E,2017,0,-0.0999999999999996,1565,-438,-0.612218452134152,-0.68258454092265
AT212,B.E,2018,0,0,3804,1565,-0.613966825864319,-0.612218452134152
AT212,B.E,2019,0.0999999999999996,0,-1142,3804,-0.488514616181313,-0.613966825864319
AT212,B.E,2020,0,0.0999999999999996,-2386,-1142,0.390564265378135,-0.488514616181313
AT212,B.E,2021,0.2,0,2479,-2386,0.0205629253421301,0.390564265378135
AT212,B.E,2022,0.3,0.2,-11356,2479,-0.273108284451956,0.0205629253421301
AT212,B.E,2023,0.2,0.3,-14391,-11356,-0.0734812381647158,-0.273108284451956
AT213,B.E,2006,0.800000000000001,,188557,,0.621692585530454,
AT213,B.E,2007,0.5,0.800000000000001,40165,188557,0.126258121658074,0.621692585530454
AT213,B.E,2008,0.300000000000001,0.5,9611,40165,-0.0446313181483074,0.126258121658074
AT213,B.E,2009,-1.2,0.300000000000001,-68904,9611,0.314177786068684,-0.0446313181483074
